id,project_name,transactionNetworkId,userId,currency,amount,amountUSD,createdAt,projectId,score,mbdScore,isBadgeholder,isQfEligible,isSelfDonation
238691462,Open-Source AI Security Triage by HackenProof,10,Donor 3389,USDC,9,8.997192,2026-05-13T16:37:06.364Z,16785,16.026,-1,FALSE,TRUE,FALSE
238691463,Echidna: A Fast Smart Contract Fuzzer,10,Donor 3389,USDC,9,8.997192,2026-05-13T16:37:06.389Z,16194,16.026,-1,FALSE,TRUE,FALSE
238691464,PlankEVM,10,Donor 3389,USDC,33,32.989704,2026-05-13T16:37:06.366Z,16729,16.026,-1,FALSE,TRUE,FALSE
238691465,Vyper,10,Donor 3389,USDC,9,8.997192,2026-05-13T16:37:06.375Z,14490,16.026,-1,FALSE,TRUE,FALSE
238691466,Open-Source Smart Contract Firewall,8453,Donor 3378,USDC,119.8,119.7926922,2026-05-13T16:44:48.127Z,16837,16.026,-1,FALSE,TRUE,FALSE
238691467,Blockscout Open-Source Block Explorer,1,Donor 3390,USDC,5,4.999695,2026-05-13T16:44:51.788Z,3452,,,FALSE,FALSE,FALSE
238691468,Boring Security,8453,Donor 3378,ETH,0.00071,1.5981603,2026-05-13T16:47:14.540Z,16356,16.026,-1,FALSE,TRUE,FALSE
238691469,Dappnode,1,Donor 456,USDT,10,9.99504,2026-05-13T16:53:26.428Z,2242,21.807,22,FALSE,TRUE,FALSE
238691470,EVMcrispr,1,Donor 456,USDT,10,9.99504,2026-05-13T16:53:26.434Z,1350,21.807,22,FALSE,TRUE,FALSE
238691471,Assertions.eth On-chain Transaction Guards for Ethereum,1,Donor 456,USDT,10,9.99504,2026-05-13T16:53:26.433Z,16793,21.807,22,FALSE,TRUE,FALSE
238691472,Fight Human Trafficking and Crypto Fraud With dobs,1,Donor 456,USDT,10,9.99504,2026-05-13T16:53:26.431Z,16931,21.807,22,FALSE,TRUE,FALSE
238691473,Drew Security,1,Donor 456,USDT,10,9.99504,2026-05-13T16:53:26.434Z,16120,21.807,22,FALSE,TRUE,FALSE
238691474,Blobscan,1,Donor 456,USDT,10,9.99504,2026-05-13T16:53:26.436Z,16831,21.807,22,FALSE,TRUE,FALSE
238691475,Open-Source AI Security Triage by HackenProof,8453,Donor 3391,USDC,1,1,2026-05-13T16:54:09.195Z,16785,0,50,FALSE,TRUE,FALSE
